Parameter,Gradient
0,13.45959186553955
1,11.81348991394043
2,1.6333595514297485
3,2.372270107269287
4,4.939792156219482
5,2.4630143642425537
6,1.828893780708313
7,9.116565704345703
8,1.1584701538085938
9,1.524848461151123
10,2.4913299083709717
11,1.518675446510315
12,1.0635350942611694
13,6.321914196014404
14,1.091080904006958
15,1.544557809829712
16,5.271207809448242
17,2.1460840702056885
18,1.4104187488555908
19,4.984445571899414
20,0.9189573526382446
21,1.2817519903182983
22,3.8820598125457764
23,3.2492733001708984
24,1.412368893623352
25,3.9047915935516357
26,1.9923449754714966
27,4.288000106811523
28,4.122721195220947
29,1.9923449754714966
30,0.9199928641319275
31,1.5327858924865723
32,0.7659454345703125
33,0.8415603041648865
34,4.395735263824463
35,1.4529383182525635
36,0.574839174747467
37,1.3196450471878052
38,0.5646331906318665
39,0.4241849482059479
40,5.070520877838135
41,1.536076545715332
42,1.1049450635910034
43,1.6361910104751587
44,0.9710702896118164
45,0.625264048576355
46,2.7979931831359863
47,0.8937588334083557
48,0.7995285987854004
49,1.3006666898727417
50,1.2917444705963135
51,0.5480755567550659
52,1.9484529495239258
53,1.3099908828735352
54,0.9846132397651672
55,2.592052459716797
56,1.3099908828735352
57,0.23468460142612457
58,0.6818912625312805
59,0.5571758151054382
60,0.22286857664585114
61,1.9219629764556885
62,1.1391456127166748
63,0.15937195718288422
64,0.6262422800064087
65,0.3783140778541565
66,0.2678214907646179
67,2.04307222366333
68,1.045056939125061
69,0.10250112414360046
70,0.3681899607181549
71,0.20674289762973785
72,0.23609519004821777
73,2.1518452167510986
74,0.9984479546546936
75,0.060954831540584564
76,0.3548840880393982
77,0.22626499831676483
78,0.20064672827720642
79,2.2515742778778076
80,0.942655622959137
81,0.05403253436088562
82,0.35870105028152466
83,0.23057009279727936
84,0.21870528161525726
85,2.230868101119995
86,0.8905333876609802
87,0.31709083914756775
88,5.204805374145508
89,3.215198516845703
90,1.9346507787704468
91,7.9327263832092285
92,9.792572975158691
93,4.935392379760742
94,8.264352798461914
95,9.792572975158691
96,0.285135418176651
97,9.698458671569824
98,5.985429763793945
99,1.616959810256958
100,8.373566627502441
101,12.487020492553711
102,0.1457633674144745
103,4.985011100769043
104,2.896742820739746
105,1.9060672521591187
106,13.788084030151367
107,24.818769454956055
108,15.288315773010254
109,0.6835463047027588
110,3.286166191101074
111,0.002543086651712656
112,26.09139060974121
113,2.7715583300613744e-11
114,56.342960357666016
115,31.012956619262695
116,54.39618682861328
117,3.667123280592932e-07
118,108.97242736816406
119,59.800025939941406
120,91.25839233398438
121,6.40698146980867e-07
122,201.36428833007812
123,165.78475952148438
124,195.94090270996094
125,2.362955228818464e-06
126,168.07318115234375
127,119.4921875
128,283.77392578125
129,5.336642516340362e-06
130,505.2031555175781
131,418.5231018066406
132,446.7598571777344
133,3.439682404859923e-05
134,288.54913330078125
135,738.2811279296875
136,506.6776123046875
137,1.3188941011321731e-05
138,480.0240173339844
139,792.7764282226562
140,650.3991088867188
141,0.00019269177573733032
142,652.4395751953125
143,558.2852172851562